"GCF","superkingdom","phylum","class","order","family","genus","species"
"GCF_002869785.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Tsukamurellaceae","Tsukamurella","Tsukamurella tyrosinosolvens"
"GCF_002953275.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium pseudotuberculosis"
"GCF_002999155.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Dietziaceae","Dietzia","Dietzia sp. oral taxon 368"
"GCF_003096015.2","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budviciaceae","Limnobaculum","Limnobaculum parvum"
"GCF_003367075.2","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Aphanizomenonaceae","Cylindrospermopsis","Cylindrospermopsis raciborskii Cr2010"
"GCF_004009495.1","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella pertussis"
"GCF_004295645.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budviciaceae","Jinshanibacter","Jinshanibacter zhutongyuii"
"GCF_004684265.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia quinivorans"
"GCF_005863255.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Nocardiaceae","Nocardia","Nocardia asteroides"
"GCF_005952885.1","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium"
"GCF_009902955.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella sp. fj-h1"
"GCF_009914495.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae","Gordonia","Gordonia amarae"
"GCF_009914535.1","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Gordoniaceae","Gordonia","Gordonia pseudamarae"
"GCF_009931195.1","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium carotovorum subsp. carotovorum"
